stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type
HRxXRUxZ,HRxXRUxZ,EMPLOYMENT OFFICE,13.03101,80.27734,0
055000b8d47667936b577293a91e2466,055000b8d47667936b577293a91e2466,TRIPLICANE QUEEN MARYS COLLEGE,13.0457,80.28014,0
152,152,QUEEN MARRY'S ARTS COLLEGE,12.549663,80.143925,0
161,161,SALT OFFICE,12.549663,80.143925,0
New73,New73,CHOLA MANDAL,12.92433,80.25125,0
New464,New464,MUTTUKADU NATURE CARE CENTRE,12.83173,80.2405,0
aXWsLpyQ,aXWsLpyQ,MUTTUKADU BOAT HOUSE,12.80591,80.24311,0
2f92b1a1d224cd1393447dddadc75502,2f92b1a1d224cd1393447dddadc75502,SEMMANCHERI KUPPAM,12.77854,80.24845,0
HXvpcqcH,HXvpcqcH,THIRUVIDHANTHAI,12.76304,80.2455,0
189,189,THIRUVIDANTHAI,12.549663,80.143925,0
166,166,SEMMANCHERI KUPPAM,12.549663,80.143925,0
VQfPRvUw,VQfPRvUw,THIRUVOTTIYUR BUS STAND,13.17508,80.30627,0
qGgPbtbT,qGgPbtbT,THIRUVOTTIYUR AJAX BUS DEPOT,13.17218,80.30549,0
lDHqxCQW,lDHqxCQW,TIRUVOTTIYUR VELLAYAN CHETTIYAR SCHOOL,13.16844,80.30448,0
bbaQRYSI,bbaQRYSI,THIRUVOTTIYUR MARKET,13.16438,80.30355,0
6b521f054edde4390921f99fae6fd2a5,6b521f054edde4390921f99fae6fd2a5,THERADI,13.16063,80.30267,0
TurKlwMz,TurKlwMz,TIRUVOTTIYUR ELLAIAMMAN TEMPLE,13.15701,80.30159,0
